"flex href","text-content-lighter","inline-flex","font-medium","text-sm","text-success-800","line-clamp-1","inline-flex href 2"
"https://fal.ai/models/Resemble-AI/ChatterboxHD/speech-to-speech/playground?requestId=3b53bcb5-2dde-40a7-b2fa-8bcb2be61899","Resemble-AI/","ChatterboxHD/speech-to-speech","about 1 hour ago","6.21s","200","3b53bcb5-2dde-40a7-b2fa-8bcb2be61899","https://fal.ai/models/Resemble-AI/ChatterboxHD/speech-to-speech/analytics"
"https://fal.ai/models/Resemble-AI/ChatterboxHD/speech-to-speech/playground?requestId=d02168ad-8d73-4136-90a7-10af531df91b","Resemble-AI/","ChatterboxHD/speech-to-speech","about 1 hour ago","9.96s","200","d02168ad-8d73-4136-90a7-10af531df91b","https://fal.ai/models/Resemble-AI/ChatterboxHD/speech-to-speech/analytics"
"https://fal.ai/models/fal-ai/whisper/playground?requestId=ceda6acd-6304-4df3-9861-4ff84e7a3bf6","fal-ai/","whisper","about 1 hour ago","2.60s","200","ceda6acd-6304-4df3-9861-4ff84e7a3bf6","https://fal.ai/models/fal-ai/whisper/analytics"
"https://fal.ai/models/fal-ai/whisper/playground?requestId=1388839b-5544-4205-8590-498ebf9fdc42","fal-ai/","whisper","about 1 hour ago","2.74s","200","1388839b-5544-4205-8590-498ebf9fdc42","https://fal.ai/models/fal-ai/whisper/analytics"
"https://fal.ai/models/fal-ai/whisper/playground?requestId=58928824-c80a-480c-8211-bbd8f36f4f29","fal-ai/","whisper","about 1 hour ago","2.68s","200","58928824-c80a-480c-8211-bbd8f36f4f29","https://fal.ai/models/fal-ai/whisper/analytics"
"https://fal.ai/models/fal-ai/whisper/playground?requestId=4ef1042f-451d-4951-ac10-b25c0f737796","fal-ai/","whisper","about 1 hour ago","2.21s","200","4ef1042f-451d-4951-ac10-b25c0f737796","https://fal.ai/models/fal-ai/whisper/analytics"
"https://fal.ai/models/fal-ai/veo3.1/fast/image-to-video/playground?requestId=c66d8611-1ce3-437a-a6a0-c4f29dd77c34","fal-ai/","veo3.1/fast/image-to-video","about 1 hour ago","52.96s","200","c66d8611-1ce3-437a-a6a0-c4f29dd77c34","https://fal.ai/models/fal-ai/veo3.1/fast/image-to-video/analytics"
"https://fal.ai/models/fal-ai/veo3.1/fast/image-to-video/playground?requestId=c80684ce-d385-425e-b623-a8ce3abb80cb","fal-ai/","veo3.1/fast/image-to-video","about 1 hour ago","48.26s","200","c80684ce-d385-425e-b623-a8ce3abb80cb","https://fal.ai/models/fal-ai/veo3.1/fast/image-to-video/analytics"
"https://fal.ai/models/fal-ai/veo3.1/fast/image-to-video/playground?requestId=20094d35-8b53-449a-a78e-0bd5b27b76c9","fal-ai/","veo3.1/fast/image-to-video","about 1 hour ago","48.12s","200","20094d35-8b53-449a-a78e-0bd5b27b76c9","https://fal.ai/models/fal-ai/veo3.1/fast/image-to-video/analytics"
"https://fal.ai/models/fal-ai/whisper/playground?requestId=aa145fed-7a1a-42b1-aee1-2b268fff6243","fal-ai/","whisper","about 1 hour ago","2.04s","200","aa145fed-7a1a-42b1-aee1-2b268fff6243","https://fal.ai/models/fal-ai/whisper/analytics"
"https://fal.ai/models/fal-ai/veo3.1/fast/image-to-video/playground?requestId=9cab2b2d-2695-4295-b21c-ee07bb1a504a","fal-ai/","veo3.1/fast/image-to-video","about 1 hour ago","43.02s","200","9cab2b2d-2695-4295-b21c-ee07bb1a504a","https://fal.ai/models/fal-ai/veo3.1/fast/image-to-video/analytics"
"https://fal.ai/models/fal-ai/veo3.1/fast/image-to-video/playground?requestId=1aedf2c1-739d-4a64-9e1e-894654c91279","fal-ai/","veo3.1/fast/image-to-video","about 1 hour ago","38.20s","200","1aedf2c1-739d-4a64-9e1e-894654c91279","https://fal.ai/models/fal-ai/veo3.1/fast/image-to-video/analytics"
"https://fal.ai/models/fal-ai/nano-banana-pro/edit/playground?requestId=d203b5b3-7a04-48b7-b0d1-ac2c24dd87c3","fal-ai/","nano-banana-pro/edit","about 1 hour ago","34.24s","200","d203b5b3-7a04-48b7-b0d1-ac2c24dd87c3","https://fal.ai/models/fal-ai/nano-banana-pro/edit/analytics"
"https://fal.ai/models/fal-ai/nano-banana-pro/edit/playground?requestId=3c1c0d83-a4d3-43e1-80c8-0c22ea3ada62","fal-ai/","nano-banana-pro/edit","about 1 hour ago","15.64s","200","3c1c0d83-a4d3-43e1-80c8-0c22ea3ada62","https://fal.ai/models/fal-ai/nano-banana-pro/edit/analytics"
